"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57"
"Erc1",54.9003,4.43864,53.6836,82.4303,24.8922,0,23.91175,44.986,377.04127,28.18205,0,1,0,5.46126,1,17.7533,14.9381,12.9253,1.017,7.49241,0,0,4.57857,120.669,15.7523,8.4125,10.20256,115.102,4.26892,2.91278,489,9.83306,5.30109,14.313,7.26494,10.2424,6.42713,9.69909,11.06563,11.9894,2.32446,3,921.95906,8.13697,9,1.07445,7,13.0855,83.9368,79.7957,2.62109,0,46.23296,3.42256,0,0,3.10717
"Erc2",0,0,0,25,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ercc1",0,0,49.60875,144.455,98.38155,1,124.1008,108.8539,0,1.15129,1,1.1258,5.42931,20.1714,0,0,19.3657,7.61417,0,2.57858,0,28.8854,0,96.02085,99.4256,0,0,62.4405,0,8.99916,0,0,10.1918,0,26.27917,7,0,0,0,89.09467,0,0,69.2228,0,40.5793,0,0,0,15.9972,6.52351,7.65754,0,135.683381,26.6826,1.28734,0,1.51973
"Ercc2",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,16,0,0,0,20,0,0,0,0,0,3,0,0,8.63828,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"Ercc3",0,0,0,2,0,0,0,1,548,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,76,0,0,127.891,15,0,0,0,1,10,0,0,0,0,0,0,1.26862,4,306.267,50.0103,0,1,0,0,0,42,4,0,0,193.733,0,0,27.5584
"Ercc4",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,29,0,0,0,0,0,0,0,0,1,0,0,351,1,0,0,0,0.805091,1,0,0,0,16,1157,1,113
"Ercc5",0,0,0,0,0,0,30,153.717,1,1,0,43,0,1.10762,0,2,69,1,0,19,0,0,2,78,0,0,149,0,217,0,0,0,0,1.23482,0,1,0,0,0,2.57854,0,0,1,0,0,0,0,4,0,0,0,0,37,0,1,0,0
"Ercc6",8.70969,0,0,14.9371,1.04755,8.432,30.2179,5.2684,3.08305,1.1043,3.52051,6.06741,2.01578,69.7828,1.08485,3.26396,3.52182,5.35481,0,77.8307,2.03197,0,1.14693,13.684,109.308,4.29649,9.34522,18.9076,2.87883,1.13186,0,2.14387,6.28474,73.743,3.52101,0,1.09317,3.2438,7.47654,190.062,16.6968,3.09357,7.32144,2.31601,2.25751,0,107.807,11.6287,3.14112,2.12438,3.07551,6.60218,3.65401,5.66591,2.06239,3.21527,1.0448
"Ercc6l",28.8558,0,0,0,2.17192,0,11.5403,124.112,0,0,1.19584,0,0,0,3,1.47704,0,0,0,0,0,0,0,0,7.08246,0,84.2411,7.10398,0,0,0,1,12.3531,171,11,0,0.984654,84.1403,1.83653,3.97352,0,0,0,0,0,0,0,28.3801,0,56.0512,0,0,54.1402,1.15557,126.47,0,43.6226
"Ercc6l2",0,0,0,2.7878,41,0,0,0,1,0,0,0,3,0,1,0,2,152,1,0,1,0,0,3,0,0,1,160.32356,1,2,1,2416,2,3,0,0,2,0,2,45,0,0,7,0,1,0,408.688,3,0,1,7,0,155,0,6,0,4
"Ercc8",0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000966172,0.00422524,0,0,0,0,0,0,0,0,0,0.000192004,0,0,0,275.128,8.84602,23,42,0,0,0,0,0,0
"Erdr1",1,0,0,2,9,7,83.99999,50,0,145,4,58,0,28.99998,0,0,3,10,2,0,12,126.000015,55,32.00004,23,0,2,31.00003,211,0,1,1,57.91327,7,12,0,5,0,0,5,49,3,25,40.00002,0,3,1,130,4,18,39.24203,33,29,11,18.99999,92,2.24997
