"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59"
"Gpt",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,268,0,38,0,0,0,0,0,0,0
"Gpt2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gpx1",2.999999,74.9999,1571.999,54.99995,7,1128,465,6.999999,428.9997,48,11.0000217,1655.49,474.0002,216,153,97,3,17,1134,315.0001,376.9999,8.999998,117.99996,724.0003,17.99999,569.9994,261.0003,367.9997,12.000008,699.999,367.0001,1433,1,134,581.000221467,2,6,540,2,2,2,424.9994,371.0002,3,4.999995,1,409.9999,683.9994,14,468.0003,976.001,6,4729.996,7,2,668.0002,237.9998,6,556.9999
"Gpx2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"Gpx3",271,967,6,2,8,6164,69,17,10,11,9,3,4966,31,43,5266,19,3219,8,1394,216.00044,9,1182,354,6339,2892,4361,51,10,403,5,6237,16,4150,20,2270,8,904,8,446,4360,456,2,255,26,12,274,10,1669,18,1147,6,9,2159,39,9,5,3,232
"Gpx4",0,182.000000547822,2.81341,128.2497,0,696.1172,288,3.03365,516,12.33452,144.0001,87.044,190.0001,414.9997,497.9999,1822.116,0,523.0488,17.1657817,1255.819,244.0005,14,76.3935,917,361.3979,176.3174,285.0003,737,7.428848002,194.0348,0,744,19.9966,347.0004,528,730.0003,0,919.259,8.96347,6.90441,78,585.477,345.0001,0,1.86046,74.4065,149.0001,490,1.80045,455.9997,59,13,1,278.9999,42.0252,1466.004,951,8.35617,657.958
"Gpx5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gpx6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gpx7",0,4.999996,0,2,1,742,31,1,0,4,0,0,0,1,0,20,0,785,0,88,1,2,3,1,342,602,21.000036,0,0,4,0,286,1,456,0,323,0,157,0,287,33,676,1,3.999998,1,402,0,0,0,2.999995,150,0,0,0,2,5,3,1,140
"Gpx8",2,34,0,0,0,728,8,0,322,4,0,0,42,2,33,94,0,232,26,536,0,1,5,0,32,228,35,0,0,78,0,314,1,130,4,514,0,128,3,1,431,635,0,2,0,5,295,0,0,0,350,0,1,2,319,1,326,15,59
"Gramd1a",133,0,1.44883,4,7,1,1,1,0,0,20,1,3,4,40,2,2,2,873,2,20,2,1,0,106.191,0,6,0,1,1,2,30,1,0,1,8,7,0,1,0,0,233,0,4,2,5,192,0,0,0,2,0,0,0,3,0,205.919,0,0
"Gramd1b",0,14.181,0,6.00688,0,3.21159481631,0,0,1.00078,2.00427,1,0,2.01468,0,1,0,0,0,3.19082,0,1.00048,0,0,0,0,1.00033,0,3.3168753934,0,0,0,144,0,1.00121,1.46295,0,0,0,0,0,3.00453,4.01232,0,0,0,0,0,0,0,4.03693,0,0,0,0,0,0,1.00181,0,8.50128
"Gramd1c",0,0,0,0,0,0,2,0,0,0,1,0,139,0,1,0,0,0,0,0,117,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1471,0,0,0,0,0
"Gramd2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gramd3",0,0,31,0,0,22,68,0,0,1,0,0,1,0,0,0,0,0,0,0,0,78,1,0,125,1,35,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1432,0,0,0
"Gramd4",0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,123,1,0,29,0,0,0,0,0,0,0,0,0,6,35,5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,9
"Grap",0,1.15264,0,0,0,0,0,0,0,0,0,204.346,0,0,9.09005,0,0,0,0,9.32472,0,1,4.01359,0,0,1.0096,1.00278,1.04852,0,290.706,0,0,0,0,0,0,0,0,0,0,3.94084,21.1207,0,0,0,7.7088,0,3.78679e-07,0,0,0,0,1.00089,9.40584,47.2304,0,0,1.00277,0
"Grap2",0,0,0,1.00063,0,0.704717,11.8025,0,0,0,0,0,0,0,0,1.00046,0,0,0,6.85911,0,0,0,0,0,0,0,0,0,0,0,1.00067,0,0,0,0,0,0,0,0,0,1.00076,0,0,0,0,0,0,0,1.00201,0,0,0,0,0,0,0,0,0
"Grasp",0,5.49523,0,0,0,8.09878,0,0,0,0,0,0,6.02996,0,0,1.00159,0,2.06285,5.46033,1.06937,3.55118,1.00026,0,0,4.01078,0,0,1.00219,2.17257,0,2.00086,0,1.00185,4.01833,0,1.00233,0,0,0,0,0,12.007,0,0,0,0,2.18151,0,1.0014,13.0639,0,0,0,3.01549,0,0,10.1535,0,16.6652
"Grb10",289,143,536.0004,116,342,1097,227,19.99996,141,11.000004,8,2710.89465,139,143.00007,571,1233.2234,19,1382.912,79,96,1400,104,165,919,933.0003,806.0003,1012,279.0001715,220.0001,126.9141,129,167.9996,6714.0005,739.9996,15,2576.998,8,278.9997,4,17.000004,2037,424.9996,689.9999,160,145,165,686,1007.99944,738.0003,230.7541,34.62944,270.78,58,79,61,179.9996,366.9995,20,492.0004
"Grb14",4,534,0,0,1,0,22.00001,0,0,4.2402,2,0,0,0,131.99973,0,6,3,1,0,0,0,30,5,1,2,0,0,0,0,0,0,4,66.99995,0,0,0,149.5779,17,2.000001,0,1,1,0,0,1,0,0,0,0,0,88,0,0,0,1,0,0,10
"Grb2",99,1,0,0,0,1.17286,9.671951002,0,0,871.681,0,0,0,0,17,0,1,15,3.23002,1,0,19,2,60,2,51,0,0,0,41.1951,13,2,0,1,0,0,0,10.4675,22.7889,0,0,1,0,0,1,87,331.99957806,1,0,1,0,138.218,40,0,1,1,3.11581,0,5
