"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47"
"Fgd4",19.5525,0,1.00014,8.00254,778.953,0,8.0031,2.0058,6.16606,2.03049,3.00374,0,1.04068,0,4.19268,13.0178,0,10.0173,1.00087,1.00018,90.08458,4.04937,2,0,24.035,119.025,1,2.00067,0,3.51339,0,1.00054,54,0,1.03475,2.19266,2.00093,1.07696,0,8.18541,7.27972,0,0,3.03146,194.441,3.03337,0
"Fgd5",0,0,0,0,0,0,0,0,0,32.9842,0,0,0,5,1.64713,58.9696,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65646,0,0,0,1.63893,379.754,0,39.2997,0,0,0,9.7927,106.347,0,0,2
"Fgd6",0,0,0,0,1,2,0,0,2,0,0,0,2,0,0,13,0,0,0,0,14,0,0,0,0,1,2,0,504,20,260.96,0,0,0,0,0,1,0,0,0,0,1,0,42,0,0,0
"Fgf1",0,0,0,2.08826e-08,0,0,0,28.3706,0,0,0,0,0,0,0,0,0,0,0,0,101.066,0,0,0,0,0,0,0,71.0267,0,0,0,0,0,0,0,71.0618,1.26616,0,0,1.87872,69.02873,0,0.637469,0,0,0
"Fgf10",0,1.03015,0,0,1.02486,0,1.26089,1.00332,7.23014,0,0,1.00834,1.00281,2.02654,1.98361,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01531,1.10297,0.0196263,0,0,0,1.01029,1.09249,0,1.03597,0,1.01809,0,0,0,0,1.17864,0,0
"Fgf11",0,0,0,0,0,0,0,0,0,1.03713,0,0,1.00316,2.32353,0,0,0,6.04288,4.32643,0,1.03011,1.05277,0,2.16435,9.11292,0,0,4.03582,47.4733,1.03736,1.00743,1.00371,0,0,0,0,1.16414,1.05356,0,0,0,0,2.48672,0,0,1.01172,0
"Fgf12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,1,0,0,0,167,0,1,0,0,0,0
"Fgf13",1.59341,20.8635,2.4541,1.01974,1.03466,1.39257,558.01451,1145.42,11.4146,4.24902,0,1.35172,0,2.14843,2.00366,4.24265,0,1.01706,166.7036,22.2515,5.96951,2.90753,90.0037,169.32,134.215,499.91525,2.00316,2.03866,81.2945,6.67174,1.04344,16,21.3974,11.0543,862.9718,159.01359,542.77899,6.24291,2.003965,25.3131,3.05078,250.4646,0,940.398,287.732,3.03098,1.03559
"Fgf14",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf18",0,2,402,0,0,0,1,7,0,0,0,62,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0
"Fgf2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf23",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0
"Fgf3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70157,20.2328,0,0,1.51064,0,0,0,0,0,0,0,0.632817,0,0,0,0,0,0,0,0,0,0,9.53264,0,0,0,3.25091,0,0,0
"Fgf6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf7",0,0,0,0,0,0,0,0,0,0,0,5.48645,0,0,0,0,0,0,0,0,0,4.01308,0,0,0,0,0,0,6.23366,0,0,0,0,0,0,0,0.601212,7.48468,0,0,3.33718,0,0,0,0,2.41739,0
"Fgf8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf9",2,1,0,4.2971,0,0,1,5.29747,3,1.999998,5,12.67654,2,0,2,29.6568,0,0,2,2,16.0139,13.3737,0,0,1,6.30635,0,0,2,31.3356,0,0,0,0,2.026756,7.03117,2.035606,21.315,2.452907,4.076815,4.3552,29.00293,0,2,0,2.56594,1
"Fgfbp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgfbp3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgfr1",14.666200407113,0,33,0,3,13.31279,1153.1184,0,1.71909,2,1,0.0449516,0,1241.106,0,5,0,995.479,0,49.00002,235.5958,272.590890182002,5.9999,3.07932,0,0,1,0,0,0,5.21422,14,0.514021,0,453.4968379844,0,0,7.2420337004,0,0,30.26654,1,5.99211,24.12781,0,820.174409366791,0
"Fgfr1op",0,3.02818,0,32,1.52459,8,0,0,8,55,1,1,1,1237,0,2,13,2.99465,2.215932,0,254,1,9,0,3.0348,23,0,0,58,3.04265,3,5,83.99999,2,674,1,1,0,0,2,13.7345,1,12,1.51163,25.2598,127.9995,1
"Fgfr1op2",207.99951003,2,1,0,61.938330420318,10,53,102,81.8296,0,52,345.9996178707,4,301.0227,67.4004431231,2,16,2.999996,12,1435.94,74,143.779,3.68683,2.999998,13.25,95.47375,5,29,224.3415,30.0000481457,3,147.99983,53,308.775218874,143,1.999998,275.8297,7,88.99997,4.81253,103,1,431.4803,1.76894,6,19.000000927859,1189.9218
"Fgfr2",1,0,0,0,0,0,0,0,26,0,0,0.99999997,0,219.1693414398,0,0,206,348.548910180546,0,0,86.99998,0,0,0,0,0,4,0,63.1044,0,0,1,2,1,0,0,0,2,0,1,583.44841,0,0,59.4206,0,1.37337,0
"Fgfr3",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.00375,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,1,0,0
"Fgfr4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgfrl1",0,0,6,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1,2,0,5,0
"Fgg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fggy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
"Fgl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgl2",0,4,0,124,0,1,0,0,0,0,0,0,0,0,83,1,0,0,0,1,21,0,2,1,62,0,5,1,0,73,0,0,1,0,237,8,97,3,1,7,22,0,0,45,0,0,48
"Fgr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fh1",53.00005,61,5,826,271.0002,86.29335,100.581,2297.47,4,6.86157,2,143.932,255.0001,2.360499398,751.0152,2.000002,7,33,355.242,3.64522796,400.87,14,144.3879,995,629.1531,1285,37,341.9995,87.6536,953.981,18,762,5.38025,1871.996,445,535,415.1275,119.972,231.3692,111.838,42.42341,826.016,514,609,264,137.9388,3503.275
"Fhad1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fhdc1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fhit",0,4,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,107.00036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.0002,0,0,3,0,0,0,0,1,0
"Fhl1",2748.39610011383,6.63734,2.07695,4.64117,20.01074,29.86071,2782.21691747939,235.9777379,2734.9254,19.9588,2428.9277,4292.2966,4196.7641,16.630343,372.589137,3.00000402,3.076506,100.75115717,234.0043,126.17969801,92.8142,255.638877,90.0000117,408.9809,376.544480305,13.68036,3.00000125,3.00000064,123.0699,272.1695201,972.876527499,50.9045,724.520872,20.00246,1442.62775644635,205.84616331934,382.4788101,776.138087,9.81980277931,376.791597,133,161.07743,8.37073,142.333226,11,1387.32596,10.1147
"Fhl2",415.00023,90,8,919.00021,63,15,182,4013.0063,617,2,7,449.00019,5,4,19.99998,3,3,106,643,5,62.999963,3,6,96,1063.00017,847,474.0003,1.999998,983.0009,1466,5,1929.99833,393.999559,1778,1505.996,1848.0045,335,3,16.00001,9,49.999973,1986.998,6,693,2000.999,80.00004,5321.997
"Fhl3",87.5236,111.298,2.18486,8.59067,3.22591,16.5149,148.492,2.95623,5.00455,8.95084,69.8283,32.7143,29.1763,226.388,80.6084,56.3349,30.9131,95.736,40.2544,40.3059,6.57109,19.5718,315.66,5.45237,54.8698,49.7068,5.45703,19.5566,4.80731,7.30197,21.7716,10.6089,19.1857,5.94557,54.4155,6.04508,72.9382,29.6996,91.3289,77.4862,8.02651,23.2508,17.1046,30.748,0.615807,33.59538,15.3105
"Fhl4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fhl5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fhod1",0,16.7888,0,0,0,0,0,0,20.7306,2.00172,1.17884,0,0,1.00522,371.481,195.712,0,0,1.15653,0,0,4.29518,0,0,1.00069,0,0,0,12.1442,2.10799,1.00217,0,1.31302,0,0,0,17.5856,0,1.07121,0,15.9116,6.31414,0,0,0,16.0193,0
"Fhod3",0,51,2,2,51,0,0,242,1,0,0,0,0,0,0,4,2,0,367,1,562,4,31,331,71,41,6,0,9,22,3,1,23,98,237,154,42,5,1,0,212,253,0,435,115,0,555
"Fibcd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibin",0,0,0,0,0,2,3,1,944,4,9,3,2,10347,3,1,1,1,0,0,0,16,1,0,1,0,0,0,0,6,0,2,0,0,0,0,0,1,1,0,1,0,0,242,0,3,0
"Fibp",2,648,2,0,185,1,0,59,62,0,0,101,6,0,23,1,72,2,10,2,210,1,0,535,65,180,5,175,46,70,0,185,198,19,55,767,392,58,1,119,50,61,0,30,39,265,290
"Ficd",0,0,0,0,0,0,1,0,0,0,0,103,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,206,0,0,0,0,0,0,0,1,0
"Fig4",873,20,1,0,2,0,547,252,0,0,0,0,0,1,2,1,0,0,0,0,132,235,0,409,39,87,10,0,123,386,1,557,3,11,44,0,1,124,1,1,1,349,0,431,8,2,351
"Figla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fign",1.36054,17.2851,8.00559,0,1.02158,0,1.21054,1.03281,1.02672,3.00753,3.87423,18.7086,2.12412,1.04252,2.49463,0,1.36768,0,1.23486,1.39805,235.585,7.16081,0,34.5133,9.51173,4.01953,0,0,41.3142,119.989,49.1611,12.0574,0,13.0062,6.69404,4.40256,584.89,2.60407,2.42786,41.6629,8.94667,0,3.45505,2.71023,2.11751,1.151,3.34551
"Fignl1",2.68455,0,0,0,0,0,0,0,0,40.2068,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.458178,52.6845
"Fignl2",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filip1",44,29.9568,30,6.000004,128,17,4,0,0,3,0,62,8,0,228.851,217.9996,0,0,15.5138,173.0003,0,59,5.24311,46.6866,163,685,15,0,343.0005,1,5.1729,53,5,4.99998,261.868,5.16963,0,1,31.0811,51,24.24218,196.0004,0,0,36.2875,264.9996,0
"Filip1l",5,5,3,1,2,6.999995,344,134,1090,2,0,165,0,9,322,0,0,3105,3,102,1,257.99988,2,297,21.99996,167,1,1,15.99997,306.9998,1,9,50,4,197,6,0,425,280.00037,2,47,235,11,710.9997,3,204,1
"Fip1l1",0,0,2,229.01412,1.97764e-08,0,109,16,431.94434,1.649320246213,0,1.45916e-08,27.715300070555,0,6.14199e-07,1,8.22283e-08,1775,30,139.68206,78,51.379,0,1,74,197.0001,5.50761,0,0,58,406.813,1,0,3.28108,501.5285,433.3707,59.000049749,2.18658,1.64021,476,19.3378,1.6340800105281,15,95,83,326,0
"Fis1",624,68,646,223,125,2.99689,1119,303,830,0,525,382.9999,182,145,1699.33,1007,2,23,105.99999,406,641,356,0,320,183,666.722,6,448.00033,365,595.9996,694,0,103,164,590.784,84,745,12,515,85,182,454,1003,367,165,215.99998,234
"Fitm1",0,0,0,0,29,0,0,202,0,0,0,0,0,0,0,0,0,0,57,0,0,0,4,26,56,135,1,0,1,19,0,758,4,0,0,21,0,22,1,40,2,119,1,5,260,0,33
"Fitm2",9.48489,16,98,0,1.12638,2.00206,12.4191,0,24.2931,16.0015,3.06551,6,256,22.1295,8.00191,16.3669,3.00499,0,1,1.15602,101.934,7.07004,5,7,15.1987,13.2604,1,0,12,1.17029,0,2,133,162,15,3.00014,8,8.11209,1,3.00013,88.0139,11.0024,0,37.016,0,12.046,0
"Fiz1",0,0,0,0,26,0,1,8,0,1,1,57,0,0,0,0,0,0,0,0,9,2,0,0,1,0,0,0,0,94,0,0,2,0,571,0,0,82,0,0,1,142,0,0,0,0,0
"Fjx1",0,0,0,0,0,0,0,0,27,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
"Fkbp10",580.216,0,4,1.35149,0,2.25691,407.445,0,239.35,1,10,639.472,838.733,368,7,0,49,219.457,4,0,122.0039,8,0,2,0,0,11,2,122.678,1,69,0,0,0,306.929,0,0,0,0,1,35,1,0,1191.47702,1,93,0
"Fkbp11",93,0,92,0,0,1,0,0,2,0,163,301,1005,1,0,0,0,424,0,84,30,0,0,168,0,1,0,0,1,0,15,1,1,0,0,1,2,0,0,1,0,0,0,1,0,0,25
"Fkbp14",9,0,0,0,5,21,2,0,0,0,0,2,2063.08,0,205.4,32.5637,1,1,54.7655,0,302,1,11,132,3,5.21791,0,1,0,0,13,25,14,8,0,0,127,6,14,16,18,0,0,0,0,11,0
"Fkbp15",0,59.9999712,0,1.000000448,0,0,358.999859,0,0,0,0,0,0,0,39.3206,0,1,0,102.999772,0,165,93.73325,0.99999951,1.9999983455,8,1,0,49.9999571,0,0,0,0,0,0,0,0,0,0,0,0,31.27317567,22,0,0,0,0,0
"Fkbp1a",971.837,3.54603,1532.5051,187.696,336.0003,20,1139,1027.98,333.663,629.0004,75,1681,2028.65,1676,2899.593,1303.19,7.18261,5849.1454,551.9816,1579.435,557.21,1216.125,7.35141,443,1121.92,392.9996,20.00017,99.0547,818.511,288.435,246.9813,67.6938,235.0003,55,1658,756,775.546,82.6836,1342.64,58,834.561,319,1541.707,2067.89,410.000000964111,1441.997,1472.19
"Fkbp1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Fkbp2",605.9995,289,1,164,1,4,692.9997,32,51,1,26,30,353,7,202,2,2,0,2,45,277,100.00003,1,156,50,1,2,0,2,346,3,9,7,268,274.9995,113,2,72,212,4,14,19,137,1,2,190.9997,106
"Fkbp3",436.034,51.4394,37.7522,1385.75,102.313,8.9267,1222.48,4236.67,303.548,0,876.077,696.804,339.978,663.488,421.377,635.178,1.9141,305.874,84.4662,13.2035,778.784,739.363,68.724,1003.55,1108.18,1857.47,6.78809,3.04399,1039.92,682.744,2639.47,789.633,3.00309,595.513,1159.97,516.956,235.162,306.476,1102.07,1096.38,262.351,479.586,624.706,1844.23,878.721,427.738,1868.64
"Fkbp4",154.84921,172.655,539.9996,0,0,0,104.80666,248.0001,741.479,0,673.54,87,3,42.856447,48.49814,8,1132.5856,186.9461,3.999998,215,208.0951,0,0.219612,67.1926,420.41,139.0939,0,437.7011,0.723197,204.139,0.274093,903.818,0,30.8212,347.685,0,308,0,608.799,248.96,1.77775e-05,32.0358,820.137,1034.08,200.527,30.4159,1083.818
"Fkbp5",121,0,0,1,4,11,26.99997,1,0,0,17,0,0,0,0,1,0,0,0,15,8,3,4,85.00002,7,1.999998,0,772,1,2,14,26.99997,11,5,42,0,0,6,2,4,1,14,0,0,0,1.24182,0
"Fkbp6",0,2.583,0,0,0,0,0,0,1.02772,0,1.00619,0,0,0,1.58521,10.4369,0,0,0,8.85488,11.3566,1.00967,0,3.03699,2.01224,7.20378,0,0,2.00837,0,0,0,0.344615,0,0,0,0,2.27639,0,0.509661,3.37551,3.15786,0,0,3.04372,0,0
"Fkbp7",52.5854,64.3874,102.588,136.912,0,159.644,33,150.334,0,0,4.93241,454,108.992,639,63.3577,0,0,43.3917,29,0,152.357,88.1148,2,75.7214,0,0,0,0,100.631,121.611,1,1.71477,0,0,52.5317,78,180.174,238.581,321.12,0,33,141.076,2,346.554,9.41921,88.4107,0
